,0
0,9.959450389352606
1,7.616066202666938
2,6.005730545093648
3,5.126460072271987
4,4.8108816737072475
5,4.726671448747964
6,4.694902550514048
7,4.677443314841205
8,4.6640597166378255
9,4.649037115736971
10,4.6391772540462135
11,4.629865317080619
12,4.619703659405538
13,4.614827208876221
14,4.60606319663579
15,4.602900501959487
16,4.59666378257329
17,4.591939224094055
18,4.5862830345327765
19,4.579489642711726
20,4.573712575707451
21,4.572554299419788
22,4.566442036085098
23,4.56228250012724
24,4.557193718826344
25,4.551676299750611
26,4.547747385230049
27,4.54352780817386
28,4.539542828786645
29,4.534757036339577
30,4.533347064586726
31,4.5287322501017915
32,4.527690079779112
33,4.523430740406148
34,4.518836999949104
35,4.51679957883754
36,4.512881400142508
37,4.50920656682614
38,4.508188651516694
39,4.5029090110952765
40,4.500848527839984
41,4.496608274379072
42,4.495051977300489
43,4.492911969411645
44,4.4902550514047235
45,4.488649846676506
46,4.485856146299878
47,4.484761092095888
48,4.480691418973941
49,4.479318028552524
