,0
0,14.969717019543975
1,8.468234680374593
2,7.971936552066368
3,7.530422943811075
4,7.179584117976384
5,6.897567500508957
6,6.662607199206026
7,6.482979342681189
8,6.338970171900448
9,6.222542927397191
10,6.126754313416124
11,6.045521490736971
12,5.977286174165309
13,5.919537771019951
14,5.869442420984324
15,5.824929302600774
16,5.787356696610342
17,5.755225166047435
18,5.725883359629479
19,5.699254933708265
20,5.675145848177932
21,5.652470989413681
22,5.631674104870725
23,5.611787777381922
24,5.592914196101384
25,5.576078831178746
26,5.560187423656352
27,5.544928236970684
28,5.530874246106474
29,5.5166015625
30,5.503613599348534
31,5.490812519085912
32,5.479180053313314
33,5.467544406555374
34,5.456138983611564
35,5.44589104170908
36,5.43416871310057
37,5.424331515930374
38,5.415597723050692
39,5.406234492696457
40,5.397679630242264
41,5.389880649429967
42,5.381093972668974
43,5.373139123574918
44,5.365819676302932
45,5.3589972579906355
46,5.353379637876628
47,5.346886849170399
48,5.340013137469462
49,5.335186389836116
