,0
0,11.282478655588354
1,8.617783934751628
2,6.797372028959691
3,5.586296156097313
4,5.009472974348534
5,4.8186241920297235
6,4.751770218342834
7,4.725553332400244
8,4.712062375941572
9,4.703455027229235
10,4.698867648742874
11,4.692346231168567
12,4.688580342146784
13,4.682242228852809
14,4.677638150193404
15,4.6761589920093645
16,4.672141407522394
17,4.667041890395969
18,4.664510223686889
19,4.661549123956637
20,4.657798742238396
21,4.652084102071457
22,4.650042307105049
23,4.64565652356474
24,4.642649697170196
25,4.639779255522191
26,4.636895294686482
27,4.632532573289902
28,4.631120215798045
29,4.627023106677524
30,4.624847312703583
31,4.621461153807004
32,4.617240383881311
33,4.6193084219767915
34,4.61309198137215
35,4.610131279265065
36,4.608783336726384
37,4.604224189484935
38,4.601949784965391
39,4.603877462082655
40,4.598643945948697
41,4.595884043541328
42,4.594046229259976
43,4.5936394607593645
44,4.589175743078176
45,4.589939974806596
46,4.5847589449307815
47,4.581907589194829
48,4.581248329982696
49,4.58122805120114
