,0
0,11.39771223534202
1,8.445601969666123
2,7.956193060362378
3,7.530275823239006
4,7.185020421925896
5,6.904195878715391
6,6.6780763309242674
7,6.48776990660627
8,6.342034653654316
9,6.223555673605456
10,6.1277618905232085
11,6.0475795882532575
12,5.978923586370114
13,5.920286097821661
14,5.868486137265879
15,5.823233439790309
16,5.784342315375611
17,5.751269213151466
18,5.721060190604642
19,5.693751431443404
20,5.6683806876017915
21,5.645650956840391
22,5.624300580847923
23,5.604596364769951
24,5.585456773590187
25,5.568085810260587
26,5.552099370801099
27,5.536069988039495
28,5.521430695872353
29,5.507995406657166
30,5.4943855608713354
31,5.48080832018526
32,5.469148816037256
33,5.4575958748982085
34,5.4468250585301305
35,5.435014855201548
36,5.425429353496539
37,5.415678440553746
38,5.4055454117467425
39,5.397621577259772
40,5.3888396719767915
41,5.3793380687601795
42,5.370786387291328
43,5.3641114871742674
44,5.357279525905945
45,5.351082966459691
46,5.344903902432818
47,5.338498988446661
48,5.333241217299471
49,5.327060960403094
