Methylation,Prediction,Age,cg16867657,x,y,Slope,Min ,Max
,,84.00,0.77,,,,,
,,60.00,0.72,,,,,
,,67.00,0.70,,,,,
,,57.00,0.60,,,,,
,,34.00,0.55,,,,,
,,50.00,0.60,,,,,
,,54.00,0.63,,,,,
,,50.00,0.60,,,,,
,,78.00,0.71,,,,,
,,56.00,0.63,,,,,
,,51.00,0.59,,,,,
,,48.00,0.59,,,,,
,,92.00,0.79,,,,,
,,71.00,0.67,,,,,
,,51.00,0.64,,,,,
,,93.00,0.80,,,,,
,,54.00,0.65,,,,,
,,90.00,0.80,,,,,
,,65.00,0.65,,,,,
,,33.00,0.52,,,,,
,,88.00,0.80,,,,,
,,68.00,0.67,,,,,
,,87.00,0.83,,,,,
,,21.00,0.46,,,,,
,,45.00,0.58,,,,,
,,60.00,0.62,,,,,
,,53.00,0.62,,,,,
,,47.00,0.55,,,,,
,,59.00,0.66,,,,,
,,43.00,0.55,,,,,
,,45.00,0.56,,,,,
,,69.00,0.72,,,,,
,,69.00,0.62,,,,,
,,37.00,0.59,,,,,
,,53.00,0.61,,,,,
,,47.00,0.56,,,,,
,,74.00,0.75,,,,,
,,27.00,0.46,,,,,
,,37.00,0.59,,,,,
,,69.00,0.68,,,,,
,,69.00,0.73,,,,,
,,89.00,0.74,,,,,
,,61.00,0.62,,,,,
,,92.00,0.79,,,,,
,,80.00,0.70,,,,,
,,60.00,0.66,,,,,
,,74.00,0.73,,,,,
,,59.00,0.66,,,,,
,,52.00,0.64,,,,,
,,62.00,0.66,,,,,
,,84.00,0.82,,,,,
,,32.00,0.53,,,,,
,,58.00,0.60,,,,,
,,58.00,0.63,,,,,
,,69.00,0.73,,,,,
,,57.00,0.72,,,,,
,,72.00,0.72,,,,,
,,84.00,0.75,,,,,
,,38.00,0.58,,,,,
,,44.00,0.62,,,,,
,,63.00,0.66,,,,,
,,55.00,0.64,,,,,
,,54.00,0.62,,,,,
,,66.00,0.68,,,,,
,,89.00,0.82,,,,,
,,57.00,0.68,,,,,
,,74.00,0.72,,,,,
,,73.00,0.68,,,,,
,,51.00,0.60,,,,,
,,56.00,0.67,,,,,
,,67.00,0.65,,,,,
,,36.00,0.54,,,,,
,,87.00,0.76,,,,,
,,65.00,0.63,,,,,
,,41.00,0.55,,,,,
,,65.00,0.65,,,,,
,,84.00,0.78,,,,,
,,54.00,0.67,,,,,
,,61.00,0.64,,,,,
,,61.00,0.73,,,,,
,,44.00,0.57,,,,,
,,53.00,0.66,,,,,
,,79.00,0.74,,,,,
,,66.00,0.71,,,,,
,,34.00,0.49,,,,,
,,48.00,0.59,,,,,
,,42.00,0.52,,,,,
,,69.00,0.64,,,,,
,,47.00,0.61,,,,,
,,51.00,0.65,,,,,
,,45.00,0.56,,,,,
,,62.00,0.63,,,,,
,,77.00,0.65,,,,,
,,67.00,0.66,,,,,
,,78.00,0.69,,,,,
,,65.00,0.61,,,,,
,,64.00,0.59,,,,,
,,69.00,0.71,,,,,
,,53.00,0.61,,,,,
,,60.00,0.66,,,,,
,,42.00,0.66,,,,,
,,68.00,0.67,,,,,
,,69.00,0.65,,,,,
,,41.00,0.56,,,,,
,,59.00,0.65,,,,,
,,53.00,0.60,,,,,
,,66.00,0.60,,,,,
,,48.00,0.65,,,,,
,,29.00,0.48,,,,,
,,68.00,0.77,,,,,
,,67.00,0.66,,,,,
,,51.00,0.65,,,,,
,,64.00,0.66,,,,,
,,64.00,0.66,,,,,
,,80.00,0.75,,,,,
,,44.00,0.58,,,,,
,,55.00,0.61,,,,,
,,83.00,0.78,,,,,
,,19.00,0.43,,,,,
,,81.00,0.75,,,,,
,,48.00,0.57,,,,,
,,89.00,0.68,,,,,
,,59.00,0.60,,,,,
,,80.00,0.79,,,,,
,,75.00,0.71,,,,,
,,55.00,0.62,,,,,
,,73.00,0.80,,,,,
,,86.00,0.81,,,,,
,,68.00,0.66,,,,,
,,62.00,0.63,,,,,
,,28.00,0.49,,,,,
,,46.00,0.58,,,,,
,,62.00,0.60,,,,,
,,51.00,0.61,,,,,
,,53.00,0.65,,,,,
,,85.00,0.81,,,,,
,,71.00,0.69,,,,,
,,29.00,0.48,,,,,
,,63.00,0.64,,,,,
,,60.00,0.65,,,,,
,,63.00,0.63,,,,,
,,68.00,0.69,,,,,
,,75.00,0.74,,,,,
,,62.00,0.71,,,,,
,,52.00,0.60,,,,,
,,29.00,0.52,,,,,
,,72.00,0.73,,,,,
,,89.00,0.85,,,,,
,,56.00,0.56,,,,,
,,48.00,0.59,,,,,
,,64.00,0.72,,,,,
,,66.00,0.71,,,,,
,,62.00,0.72,,,,,
,,89.00,0.70,,,,,
,,65.00,0.71,,,,,
,,71.00,0.68,,,,,
,,64.00,0.65,,,,,
,,59.00,0.61,,,,,
,,64.00,0.66,,,,,
,,79.00,0.74,,,,,
,,52.00,0.61,,,,,
,,80.00,0.74,,,,,
,,67.00,0.69,,,,,
,,74.00,0.76,,,,,
,,50.00,0.62,,,,,
,,47.00,0.58,,,,,
,,78.00,0.73,,,,,
,,56.00,0.64,,,,,
,,56.00,0.61,,,,,
,,58.00,0.63,,,,,
,,55.00,0.64,,,,,
,,88.00,0.77,,,,,
,,50.00,0.59,,,,,
,,79.00,0.66,,,,,
,,85.00,0.74,,,,,
,,50.00,0.60,,,,,
,,76.00,0.71,,,,,
,,78.00,0.73,,,,,
,,41.00,0.59,,,,,
,,54.00,0.69,,,,,
,,49.00,0.61,,,,,
,,54.00,0.66,,,,,
,,54.00,0.65,,,,,
,,79.00,0.64,,,,,
,,92.00,0.78,,,,,
,,37.00,0.49,,,,,
,,66.00,0.62,,,,,
,,38.00,0.51,,,,,
,,45.00,0.60,,,,,
,,56.00,0.62,,,,,
,,60.00,0.70,,,,,
,,56.00,0.57,,,,,
,,79.00,0.68,,,,,
,,89.00,0.82,,,,,
,,31.00,0.49,,,,,
,,40.00,0.58,,,,,
,,69.00,0.65,,,,,
,,63.00,0.65,,,,,
,,78.00,0.70,,,,,
,,83.00,0.80,,,,,
,,75.00,0.73,,,,,
,,93.00,0.85,,,,,
,,46.00,0.59,,,,,
,,46.00,0.58,,,,,
,,66.00,0.67,,,,,
,,50.00,0.61,,,,,
,,34.00,0.52,,,,,
,,61.00,0.65,,,,,
,,55.00,0.61,,,,,
,,82.00,0.71,,,,,
,,70.00,0.79,,,,,
,,76.00,0.70,,,,,
,,51.00,0.60,,,,,
,,72.00,0.74,,,,,
,,66.00,0.74,,,,,
,,50.00,0.62,,,,,
,,64.00,0.68,,,,,
,,70.00,0.67,,,,,
,,79.00,0.76,,,,,
,,57.00,0.62,,,,,
,,51.00,0.55,,,,,
,,57.00,0.67,,,,,
,,67.00,0.73,,,,,
,,76.00,0.71,,,,,
,,73.00,0.70,,,,,
,,79.00,0.76,,,,,
,,59.00,0.62,,,,,
,,61.00,0.66,,,,,
,,49.00,0.72,,,,,
,,91.00,0.70,,,,,
,,33.00,0.48,,,,,
,,50.00,0.59,,,,,
,,43.00,0.58,,,,,
,,76.00,0.69,,,,,
,,61.00,0.63,,,,,
,,63.00,0.65,,,,,
,,74.00,0.74,,,,,
,,67.00,0.61,,,,,
,,80.00,0.72,,,,,
,,30.00,0.55,,,,,
,,61.00,0.59,,,,,
,,62.00,0.61,,,,,
,,55.00,0.61,,,,,
,,69.00,0.68,,,,,
,,25.00,0.44,,,,,
,,85.00,0.75,,,,,
,,65.00,0.66,,,,,
,,66.00,0.64,,,,,
,,62.00,0.68,,,,,
,,49.00,0.59,,,,,
,,73.00,0.72,,,,,
,,66.00,0.71,,,,,
,,89.00,0.77,,,,,
,,42.00,0.53,,,,,
,,84.00,0.73,,,,,
,,61.00,0.66,,,,,
,,25.00,0.49,,,,,
,,47.00,0.56,,,,,
,,26.00,0.50,,,,,
,,51.00,0.61,,,,,
,,59.00,0.61,,,,,
,,36.00,0.55,,,,,
,,44.00,0.58,,,,,
,,38.00,0.57,,,,,
,,46.00,0.60,,,,,
,,48.00,0.57,,,,,
,,58.00,0.62,,,,,
,,51.00,0.59,,,,,
,,50.00,0.58,,,,,
,,58.00,0.65,,,,,
,,65.00,0.70,,,,,
,,76.00,0.73,,,,,
,,84.00,0.70,,,,,
,,50.00,0.61,,,,,
,,59.00,0.65,,,,,
,,47.00,0.59,,,,,
,,77.00,0.77,,,,,
,,36.00,0.55,,,,,
,,55.00,0.75,,,,,
,,73.00,0.74,,,,,
,,56.00,0.67,,,,,
,,37.00,0.48,,,,,
,,34.00,0.50,,,,,
,,77.00,0.76,,,,,
,,40.00,0.56,,,,,
,,65.00,0.69,,,,,
,,40.00,0.57,,,,,
,,51.00,0.61,,,,,
,,68.00,0.67,,,,,
,,71.00,0.72,,,,,
,,84.00,0.77,,,,,
,,33.00,0.50,,,,,
,,53.00,0.56,,,,,
,,49.00,0.66,,,,,
,,54.00,0.67,,,,,
,,45.00,0.60,,,,,
,,53.00,0.62,,,,,
,,58.00,0.64,,,,,
,,64.00,0.67,,,,,
,,52.00,0.56,,,,,
,,43.00,0.59,,,,,
,,53.00,0.66,,,,,
,,64.00,0.71,,,,,
,,59.00,0.67,,,,,
,,47.00,0.61,,,,,
,,46.00,0.68,,,,,
,,49.00,0.59,,,,,
,,69.00,0.73,,,,,
,,40.00,0.53,,,,,
,,59.00,0.64,,,,,
,,46.00,0.55,,,,,
,,61.00,0.63,,,,,
,,68.00,0.66,,,,,
,,63.00,0.68,,,,,
,,84.00,0.74,,,,,
,,46.00,0.57,,,,,
,,74.00,0.74,,,,,
,,73.00,0.78,,,,,
,,54.00,0.69,,,,,
,,49.00,0.61,,,,,
,,66.00,0.72,,,,,
,,63.00,0.69,,,,,
,,55.00,0.61,,,,,
,,63.00,0.69,,,,,
,,60.00,0.59,,,,,
,,67.00,0.65,,,,,
,,66.00,0.53,,,,,
,,75.00,0.76,,,,,
,,39.00,0.57,,,,,
,,53.00,0.66,,,,,
,,45.00,0.56,,,,,
,,18.00,0.40,,,,,
,,33.00,0.46,,,,,
,,61.00,0.65,,,,,
,,24.00,0.43,,,,,
,,66.00,0.66,,,,,
,,60.00,0.58,,,,,
,,67.00,0.68,,,,,
,,49.00,0.62,,,,,
,,69.00,0.68,,,,,
,,48.00,0.54,,,,,
,,33.00,0.52,,,,,
,,67.00,0.63,,,,,
,,62.00,0.67,,,,,
,,69.00,0.65,,,,,
,,85.00,0.77,,,,,
,,52.00,0.64,,,,,
,,54.00,0.57,,,,,
,,52.00,0.64,,,,,
,,77.00,0.69,,,,,
,,66.00,0.61,,,,,
,,59.00,0.61,,,,,
,,68.00,0.72,,,,,
,,55.00,0.61,,,,,
,,62.00,0.67,,,,,
,,78.00,0.77,,,,,
,,59.00,0.58,,,,,
,,37.00,0.53,,,,,
,,50.00,0.59,,,,,
,,56.00,0.62,,,,,
,,53.00,0.55,,,,,
,,37.00,0.57,,,,,
,,73.00,0.68,,,,,
,,67.00,0.74,,,,,
,,62.00,0.66,,,,,
,,54.00,0.63,,,,,
,,62.00,0.63,,,,,
,,68.00,0.71,,,,,
,,67.00,0.76,,,,,
,,63.00,0.67,,,,,
,,60.00,0.68,,,,,
,,48.00,0.61,,,,,
,,59.00,0.64,,,,,
,,66.00,0.65,,,,,
,,69.00,0.68,,,,,
,,66.00,0.67,,,,,
,,52.00,0.61,,,,,
,,56.00,0.69,,,,,
,,63.00,0.67,,,,,
,,60.00,0.77,,,,,
,,78.00,0.78,,,,,
,,73.00,0.94,,,,,
,,36.00,0.54,,,,,
,,68.00,0.67,,,,,
,,27.00,0.49,,,,,
,,45.00,0.55,,,,,
,,54.00,0.74,,,,,
,,59.00,0.53,,,,,
,,69.00,0.69,,,,,
,,66.00,0.65,,,,,
,,32.00,0.50,,,,,
,,78.00,0.68,,,,,
,,37.00,0.52,,,,,
,,48.00,0.61,,,,,
,,50.00,0.65,,,,,
,,48.00,0.65,,,,,
,,33.00,0.60,,,,,
,,74.00,0.69,,,,,
,,54.00,0.59,,,,,
,,68.00,0.70,,,,,
,,69.00,0.62,,,,,
,,53.00,0.65,,,,,
,,62.00,0.61,,,,,
,,21.00,0.41,,,,,
,,60.00,0.60,,,,,
,,55.00,0.67,,,,,
,,64.00,0.64,,,,,
,,76.00,0.72,,,,,
,,54.00,0.64,,,,,
,,58.00,0.64,,,,,
,,66.00,0.72,,,,,
,,45.00,0.56,,,,,
,,74.00,0.80,,,,,
,,72.00,0.71,,,,,
,,62.00,0.62,,,,,
,,46.00,0.59,,,,,
