,0
0,27.80645612785016
1,9.523779455924267
2,8.915703888436482
3,8.475911988497558
4,8.11417828786645
5,7.821057645816368
6,7.566493727096906
7,7.370328723025244
8,7.207859896681596
9,7.078092394900244
10,6.969810063365228
11,6.876504606066775
12,6.7939103216612375
13,6.722925838507736
14,6.660081496844462
15,6.606779315960912
16,6.56279543401364
17,6.524333742620114
18,6.48896754758754
19,6.456942977656759
20,6.428160229412663
21,6.400570748294992
22,6.374029799470684
23,6.348985106626628
24,6.325793735367467
25,6.3042612479641695
26,6.2832937830822475
27,6.263002277585505
28,6.2439457896478014
29,6.225907217019544
30,6.207797072221092
31,6.191480207909202
32,6.1756098744146986
33,6.159791629555171
34,6.1449217159507326
35,6.129240253460912
36,6.115215289087948
37,6.101196686685668
38,6.087892613115839
39,6.074787748753054
40,6.062268583316368
41,6.050215034609121
42,6.038803647317793
43,6.027934220404112
44,6.016557028705212
45,6.006152423274633
46,5.996241268195236
47,5.985893125254479
48,5.976107619096092
49,5.966543191418974
