1.000000000000000000e+00,5.648127555847167969e+00,7.926884889602661133e-01
2.000000000000000000e+00,5.649621009826660156e+00,7.886525392532348633e-01
3.000000000000000000e+00,5.294612407684326172e+00,8.169669508934020996e-01
4.000000000000000000e+00,5.166596889495849609e+00,8.255676627159118652e-01
5.000000000000000000e+00,5.186642646789550781e+00,8.246943354606628418e-01
6.000000000000000000e+00,4.530970573425292969e+00,8.629175424575805664e-01
7.000000000000000000e+00,4.552735328674316406e+00,8.633312582969665527e-01
8.000000000000000000e+00,4.407544612884521484e+00,8.682619929313659668e-01
9.000000000000000000e+00,4.376583576202392578e+00,8.667422533035278320e-01
1.000000000000000000e+01,4.285272121429443359e+00,8.703889846801757812e-01
2.000000000000000000e+01,3.919333457946777344e+00,8.985883593559265137e-01
3.000000000000000000e+01,3.633989572525024414e+00,9.083740711212158203e-01
4.000000000000000000e+01,3.661760330200195312e+00,9.075474143028259277e-01
5.000000000000000000e+01,3.510939121246337891e+00,9.152721166610717773e-01
6.000000000000000000e+01,3.486953496932983398e+00,9.169335961341857910e-01
7.000000000000000000e+01,3.428416013717651367e+00,9.175618886947631836e-01
8.000000000000000000e+01,3.445722103118896484e+00,9.187526702880859375e-01
9.000000000000000000e+01,3.425782442092895508e+00,9.206032752990722656e-01
1.000000000000000000e+02,3.468221902847290039e+00,9.225442409515380859e-01
2.000000000000000000e+02,3.745009899139404297e+00,9.150378108024597168e-01
3.000000000000000000e+02,3.911295413970947266e+00,8.944301009178161621e-01
4.000000000000000000e+02,4.408295154571533203e+00,8.684331178665161133e-01
5.000000000000000000e+02,5.243557929992675781e+00,8.194212913513183594e-01
6.000000000000000000e+02,7.704570770263671875e+00,6.247210502624511719e-01
