num_features,nn0,lr0,dp0,nn1,lr1,dp1,nn2,lr2,dp2,nn3,lr3,dp3,nn4,lr4,dp4,nn5,lr5,dp5,nn6,lr6,dp6,nn7,lr7,dp7,nn8,lr8,dp8,nn9,lr9,dp9
86,3.3861473655079397,3.5179789291530943,3.455085679840187,3.426129567894951,3.535398800132329,3.362268901414902,3.4529945796009773,3.561687258245114,3.36746702908693,3.3503525327005295,3.538943213049674,3.4803955873371337,3.567976861512622,3.552775727809446,3.35986328125,3.465601619757736,3.5689693289393323,3.393933622378868,3.3911562245521174,3.5435898373880295,3.500710154977606,3.4746232918108713,3.5790769098635993,3.346454632787052,3.38924683810057,3.5716755522190553,3.3764576865329805,3.3688316717986564,3.5663593304662053,3.3748115266184855
129,3.433542058988192,3.5717216765065145,3.4655944625407167,3.4630250216307004,3.528562862632329,3.399763573264454,3.36133170360851,3.5806733668821256,3.372028959690554,3.3932858942385993,3.569316851587948,3.380755197730049,3.3742107180120113,3.586588011502443,3.4400189427677117,3.4742101613395766,3.5800113243078178,3.3689791899938926,3.402748530384772,3.552444110087541,3.4022992162052117,3.464193238497557,3.55501832247557,3.477847220455008,3.409133563212541,3.5362075656555376,3.595622407496946,3.4238774302728014,3.5784224221294787,3.3795957285728826
194,3.3270899868943404,3.407851228496539,3.356230198366246,3.344014817029723,3.4182860532878663,3.3187454670958876,3.416552416276466,3.403711971320236,3.3150177498982085,3.328216453328583,3.4176403132634365,3.3269478366118688,3.3536432620368486,3.425224975188314,3.3261486140446865,3.314858104196356,3.4433383009721092,3.331399029163274,3.3429619108815145,3.473679334410627,3.4846787841001627,3.3878969074460503,3.4216431856932004,3.355218247404316,3.404775613293974,3.410976944218241,3.3242064236817996,3.3233022285983305,3.4102357746335503,3.3266720849450326
291,3.2665270081560465,3.4378642228216614,3.2610396096294787,3.2859906622175283,3.408898567920399,3.2608439790309447,3.277961656402687,3.388282999541938,3.261789129300692,3.3214071565808223,3.400039921366042,3.352463514098127,3.381569927600774,3.38795535805171,3.3130532926379277,3.2560224004987783,3.379217986563518,3.256761979590798,3.290642853280232,3.4017341936838354,3.321981722058225,3.284518860062093,3.413129676048453,3.2909794412917344,3.2675156981626627,3.379312223254275,3.258035964220277,3.256289802079092,3.4028391884670195,3.262168262991144
437,3.2315516766973738,3.337109693098534,3.1525200958748982,3.1694212674317996,3.2807919381107493,3.353093349195847,3.151830020867264,3.315042800157777,3.1572164231092223,3.147521376221498,3.3271297492111156,3.1207907611461727,3.2223214512927525,3.3705903590696256,3.373729196355863,3.1526467388538273,3.301118832069422,3.156423164889556,3.2903046747760585,3.402912351129886,3.1942319590416326,3.156344634313925,3.3130721797383957,3.190052343113803,3.1734965072780943,3.345637517177321,3.4574527305578178,3.1585669501984937,3.4486573060871337,3.1364093991754887
656,3.1276223247913273,3.1407812659049266,2.9823405610621947,2.9902433215212745,3.1735986964322067,2.952925790792956,2.9468342038629887,3.2248672336242876,2.988985043006922,2.9464777346930986,3.1852196311329397,2.9988381451038273,2.985293708329092,3.0579048678618688,2.968427527610953,3.110441425335912,3.1433276446712135,2.944483853318404,2.9524850255115025,3.0533051630573085,2.9468008035168975,2.96051025390625,3.089621876272394,3.0431786950325734,2.941607049699715,3.0717149169126627,2.9409461999949102,2.9592324918566777,3.0852651192233305,2.9684203703939334
985,2.798154948976995,3.1146991742162053,2.869253351168058,2.8651936186253053,2.929098023653807,2.913679588889454,2.939357099004988,2.893734810794992,2.803826447030232,2.823375788884365,2.85830817704092,3.0696067188772393,2.9060211678669585,2.914905858738803,2.936380094348025,3.1909137937067387,2.918169549699715,3.0618075392533592,2.810415261731474,2.9044758054254887,2.846806728102097,2.9490249087057205,3.0808695939154114,2.955706369605049,2.8167181853751018,2.922789930908998,2.830278527076547,2.813063829651873,3.013304073569829,2.8385049527941777
1477,2.7206717127697475,2.842728506082044,2.7160298599094057,2.736684991793058,2.8185414864108305,2.731524041887215,2.700138850010179,3.12937146910627,2.774391795602606,2.696000586891796,2.9942440070236156,2.808642061214882,2.7999736773462947,3.1605566565299266,2.7590612355583266,2.7058091551939127,2.746792771528909,3.0844480036135993,2.6934102707654723,2.7504280413400854,2.748879100290106,2.7158729975697273,2.7554699031071865,2.708096482466409,2.6860665684802525,2.87240471358408,2.746492168414088,2.7738418827616043,2.7630400517864415,2.77943842884772
2216,2.6620765710886602,2.7120916012444014,2.6882666174674266,2.667593393729642,2.7961338304153096,3.0959770873625816,2.857227238459385,2.704112695948697,2.7622861582603826,2.7920315521936074,2.7049838883092425,2.776247900549674,2.711294565604642,2.711498148666531,2.7176251240584284,2.62434451820796,2.694543099170399,2.655375825465696,2.620817401898412,2.820015475493689,2.687793843520969,2.6220015236919787,2.687602984400448,2.650061393017101,2.6154021719767915,2.769057879618791,2.687355662790106,2.9238647063314334,2.685770339220277,2.6461205498015063
3325,2.6783266347083674,2.8388200691546213,3.032075068073086,2.8821114903552525,2.8355078681672437,2.780492130242264,2.769065434458978,2.833299866716714,2.8390288213176915,2.675024573111767,3.064905620164902,2.661081320299776,2.6984032248829397,2.845916648641083,2.7476496494554152,2.663713585670297,3.0534689838024227,3.00986463316877,2.97480222223636,3.1222140532751426,2.692551007099959,2.824938050310464,2.9963887863904723,2.773153597058225,2.715223082502036,2.972740943734731,2.7610487549623373,2.7654603840085503,2.8020673621360954,2.75592398876476
4987,2.665768502201242,2.6740909539138844,2.683992367225672,2.6776130999338354,2.961801932766694,2.6928347112301507,2.668891235749186,2.8178553876348738,2.6986509441164497,2.6332276185871337,2.7108198035423454,3.1152172772037865,2.689122501336014,2.762877821533998,2.6187539364693606,2.6134508362810465,2.910238160372557,2.9108540786594057,3.157797151745725,2.721196575351181,2.776075133283286,2.818071495826547,2.9304499424241652,2.7805615154850365,2.956409566177219,3.009998632176303,2.6474730650066163,2.637744816584385,3.1907432133677727,2.7173229304509365
7481,2.6585331522292344,2.6752563874185666,2.749863615253461,3.5144885929865635,2.7722657045246337,2.6718809643475163,2.737776268576954,2.7602069867162053,2.785924457960098,2.975719538884365,2.776835786403196,2.7718330905181188,2.730624817093343,2.7440430085123166,2.703251841790513,3.0350063460657575,2.682283382850672,2.618787535627036,2.6658172110392915,2.736233490686075,2.6480947488293975,2.674600309191775,2.79300055985342,2.6582343384186684,2.8088661218699102,2.7443378460912053,2.701669500394442,3.2581397438670603,2.7903462263970886,2.6706179143551507
11222,2.9259605780486564,2.6962904541810873,2.636810402140167,2.723831425272292,2.6748724822501018,2.7199842223127035,2.6868614171925898,2.8137646404850365,2.637032077056189,3.0068671509186684,2.687183491958469,2.8797344990584284,3.177188438390676,2.902612145638233,2.7388768895052933,2.6947959875050898,2.9082460683021174,2.6712495387571256,2.889452409278298,2.7190464280715596,2.797854743485342,2.78810899964373,2.75058112625967,2.683899522216002,2.716632656631718,2.72445549483408,2.8045819310489617,2.7535678726842425,2.7346551255216816,2.8898693171696865
16834,2.95442005865737,2.9961488208087337,2.837518052091816,3.1406802696203178,2.857858266426608,2.8365371157369705,2.9371252401643932,2.828166750432614,3.1212360990940553,2.864995005853013,2.884174359349552,2.9756429964245723,3.4878772648615635,2.7730271528908794,2.835003085555782,2.81820549483408,2.9070973349704805,2.806982580924267,3.0263168881692795,2.980734759899226,2.932115784685464,2.8342177797994705,3.0790156758957656,2.873241113917447,3.1969843066088153,2.8797132262189535,2.949636651949308,3.3026950103063926,3.0030090133219667,2.8182140437321865
25251,3.021827921416938,3.052999390841307,2.9961021000865227,3.1872936335759365,2.906951804891083,3.022693745864719,2.9881347258626834,3.1204376717732085,2.923535474348534,3.626679560260586,2.9666950834690553,2.901688665831128,3.244701472478115,2.936118657115228,2.968173446406759,3.5573802040920195,2.953141302549878,3.147360736461726,3.237724975188314,2.993954139734324,3.1092843419177525,2.9783867950936482,3.3419841555120113,3.091165847032777,3.1405053154265063,3.0312070566978826,3.217601465479947,3.390462769747557,2.9409157818225773,2.9306044190248373
37876,3.1189084130700326,3.037048538655334,3.056733271198086,3.387777222872557,3.1147001682741244,3.2778874996819014,3.1636410194421822,3.5250454880903908,3.2427682286365025,3.117037993688925,3.205232203977504,3.5894334028908794,3.422951365915106,3.0208412195261602,3.165742656695338,3.079710124758245,2.988734540411238,3.115863613662968,3.074088528412561,3.034820656046417,3.2663168643118894,3.099480942716816,3.145294090047333,3.0620846826012826,3.201697532827769,3.045267210721193,3.083344996946254,3.022793350468241,3.3629388964525653,3.247600542994198
56815,3.330405170055476,3.3397324155130295,3.791704308326547,3.431117352911238,3.4942630929356677,3.2114341313365227,4.163001641388436,3.1531519190884567,3.236872868739821,3.406084588762215,3.5648213240533386,3.3811074918566777,3.327119609820338,3.129402483713355,3.4877536040563926,3.2988881660983305,3.1604242480150653,3.1899103916429152,3.1747104508092425,3.170937603382024,3.193335119986767,3.6150757233560666,3.1169620476638844,3.224421299241653,3.3158495775651464,3.1959572459665107,3.551653635230049,3.584439255903909,3.1839846135739007,3.377520135637215
85222,4.268607969004479,3.982486289953176,3.3118570433377443,3.3457424896936074,3.344766722439943,3.632491220480456,3.6278378365482493,3.848423662713762,3.546987129733306,3.655416184217223,3.320842531682614,3.3517080300793975,3.331392070757838,3.2828492403807004,3.286137583978013,3.872281052778909,3.293852268678746,3.335153188301608,4.761564074587744,3.3315727904875816,3.2155495311227607,3.787376180145562,3.28702269314943,3.317714032598738,4.254219974679357,3.341457702437907,3.333908428974959,3.3930576585403096,3.274661582921926,3.260127064459487
127834,4.16889918821254,3.7072992480150653,3.459993144976588,3.5719745648412053,4.095296754122557,3.54326060540513,3.566089741958469,3.7092404443200326,4.570135160067182,3.5898055781758957,3.5253413197271986,4.049987991780334,3.6485313390675898,3.647777047918363,3.6023967134059447,5.178728432919381,3.7764999936380295,3.491856279901262,3.6147771083570848,3.8630617620114007,4.522802098177932,3.8385761273412053,4.26599836815452,3.529539425132329,4.807857351893323,3.9810735348381514,3.7011249554662053,3.5290829537357493,4.025251059268119,3.6059848648717425
