,0
0,21.606042917854236
1,8.957309586217427
2,8.43799543846702
3,7.988796569625407
4,7.616079721854642
5,7.3206902420093645
6,7.0836424190757326
7,6.8953742111156355
8,6.741285690655538
9,6.605851263487378
10,6.493408203125
11,6.401561625229031
12,6.324187735392916
13,6.259523870114006
14,6.2048097293617674
15,6.155908839322068
16,6.111672466663274
17,6.072122480659609
18,6.03576302295399
19,6.002077183428339
20,5.970985835072272
21,5.941641642915309
22,5.913453341307004
23,5.887114385051913
24,5.862239477300489
25,5.838498988446661
26,5.815805043770358
27,5.7945099373982085
28,5.773770708214577
29,5.753938457476588
30,5.734811590238192
31,5.7165050195948695
32,5.699264079041124
33,5.682387361309039
34,5.6666144454906355
35,5.652151300386808
36,5.6382933377443
37,5.624924849221295
38,5.611864916276466
39,5.599138589169381
40,5.586929172180374
41,5.574934869325122
42,5.56317754987785
43,5.552083068251221
44,5.542115450682004
45,5.532845264149023
46,5.523446247709691
47,5.51426274302728
48,5.505335307664902
49,5.4968611627137625
