5.600000000000000000e+01,9.966424346940000456e-01,5.454679138080000163e-03,3.544121356399999867e-02
2.500000000000000000e+01,9.906109115229999595e-01,1.259306837700000046e-03,6.225923332799999932e-02
4.800000000000000000e+01,9.850055397779999833e-01,9.535057026640000530e-03,3.907649717140000006e-02
8.200000000000000000e+01,9.725353192740000541e-01,2.549856476969999952e-02,1.975852253100000150e-02
6.100000000000000000e+01,9.919179601659999790e-01,4.918104084730000325e-03,4.497043619960000016e-01
7.300000000000000000e+01,9.759656679129999901e-01,1.113330401259999929e-02,2.491839350720000124e-02
7.700000000000000000e+01,9.820267312289999717e-01,1.970561832160000124e-02,1.776279269590000029e-02
5.600000000000000000e+01,9.928755015710000187e-01,4.540788932240000068e-03,2.578202063869999838e-02
5.100000000000000000e+01,9.912016322209999952e-01,9.289350968989999388e-03,6.799311510680000614e-02
5.100000000000000000e+01,9.926973520990000077e-01,1.091510892039999989e-03,4.805722212519999981e-02
4.700000000000000000e+01,9.835050443859999492e-01,6.154033768709999894e-03,1.566317329320000146e-02
5.200000000000000000e+01,9.846809706179999733e-01,4.238936810260000160e-03,1.970627923890000063e-02
7.600000000000000000e+01,9.826449330380000458e-01,1.854976419929999995e-02,1.868120985850000096e-02
7.700000000000000000e+01,9.820267312289999717e-01,6.125512572690000081e-03,2.751220274620000059e-02
4.300000000000000000e+01,9.774439810699999676e-01,7.638587803259999816e-03,2.971299978309999840e-02
5.400000000000000000e+01,9.857311096199999900e-01,5.736592201849999816e-03,6.097007587230000164e-02
5.100000000000000000e+01,9.959665106139999891e-01,9.445765668489999531e-03,2.384200171820000103e-02
3.400000000000000000e+01,9.950788731830000344e-01,1.132754795789999991e-01,5.414299360020000118e-02
5.800000000000000000e+01,9.893059772619999803e-01,2.426470672949999907e-01,5.344101699650000148e-02
7.600000000000000000e+01,9.741110624869999679e-01,1.062461688659999993e-02,2.294309482340000164e-02
5.800000000000000000e+01,9.937725655920000012e-01,1.069198830370000040e-02,2.636861109740000139e-02
4.400000000000000000e+01,1.002427390910000105e+00,1.065093674469999932e-02,4.865572399420000083e-01
6.700000000000000000e+01,9.946091522269999707e-01,1.857490251000000134e-02,2.392464720660000127e-02
5.600000000000000000e+01,9.792920841140000388e-01,1.388336867370000040e-02,8.241049199890000676e-02
5.600000000000000000e+01,9.928755015710000187e-01,2.126633710030000068e-02,3.146453392520000281e-02
