5.955995178222656250e+01,5.983770751953125000e+01
1.151039314270019531e+01,1.208973121643066406e+01
9.700779914855957031e+00,9.934574127197265625e+00
9.215715408325195312e+00,9.401719093322753906e+00
8.755036354064941406e+00,8.894710540771484375e+00
8.328712463378906250e+00,8.424582481384277344e+00
7.940423488616943359e+00,7.993356704711914062e+00
7.589826107025146484e+00,7.647290706634521484e+00
7.280375480651855469e+00,7.346910476684570312e+00
7.009202957153320312e+00,7.082246780395507812e+00
6.769025325775146484e+00,6.850836277008056641e+00
6.558264255523681641e+00,6.659685134887695312e+00
6.376431941986083984e+00,6.498905181884765625e+00
6.219139575958251953e+00,6.362266540527343750e+00
6.084131240844726562e+00,6.244894027709960938e+00
5.972430706024169922e+00,6.147284507751464844e+00
5.880630493164062500e+00,6.067873001098632812e+00
5.805485725402832031e+00,5.999952793121337891e+00
5.748336315155029297e+00,5.942185401916503906e+00
5.702651500701904297e+00,5.896481990814208984e+00
5.665935039520263672e+00,5.858581066131591797e+00
5.636342048645019531e+00,5.827178955078125000e+00
5.612906455993652344e+00,5.800634384155273438e+00
5.593388557434082031e+00,5.778627872467041016e+00
5.578126907348632812e+00,5.759579658508300781e+00
5.565069675445556641e+00,5.742712020874023438e+00
5.555286884307861328e+00,5.730198383331298828e+00
5.546775341033935547e+00,5.719270706176757812e+00
5.540010929107666016e+00,5.710033893585205078e+00
5.533994674682617188e+00,5.701764106750488281e+00
5.529522895812988281e+00,5.695512771606445312e+00
5.524601459503173828e+00,5.688654899597167969e+00
5.520748138427734375e+00,5.683281421661376953e+00
5.517150878906250000e+00,5.678307056427001953e+00
5.514476299285888672e+00,5.674542427062988281e+00
5.512171745300292969e+00,5.671304225921630859e+00
5.509829521179199219e+00,5.667984008789062500e+00
5.508018970489501953e+00,5.665281295776367188e+00
5.506516456604003906e+00,5.662974834442138672e+00
5.505402565002441406e+00,5.661194324493408203e+00
5.504312038421630859e+00,5.659418106079101562e+00
5.503492832183837891e+00,5.658120632171630859e+00
5.502417564392089844e+00,5.656299591064453125e+00
5.502061843872070312e+00,5.655824661254882812e+00
5.501295089721679688e+00,5.654537200927734375e+00
5.500774860382080078e+00,5.653690814971923828e+00
5.500615119934082031e+00,5.653532505035400391e+00
5.499885082244873047e+00,5.652256488800048828e+00
5.499165058135986328e+00,5.650982379913330078e+00
5.499438762664794922e+00,5.651527881622314453e+00
5.498932838439941406e+00,5.650657653808593750e+00
