,0
0,9.205609349552118
1,7.026966803236971
2,5.6047084945032575
3,4.9688120292141695
4,4.780545014123575
5,4.718179013131108
6,4.685457409787256
7,4.6639861563517915
8,4.642192828150448
9,4.62842154735851
10,4.614000947933632
11,4.599153698849756
12,4.585846046671417
13,4.570990447501018
14,4.560531765319626
15,4.5532719615228014
16,4.544229613064943
17,4.534131177473534
18,4.5248458812601795
19,4.517935985850977
20,4.513084983204397
21,4.50674925564943
22,4.497950650193404
23,4.496025358815147
24,4.488244668668567
25,4.481737565528298
26,4.479348247913274
27,4.469693162153908
28,4.469149213660423
29,4.460178039749593
30,4.457249147495928
31,4.452868930679967
32,4.447831840390879
33,4.443693378460912
34,4.440585158158592
35,4.437125836599145
36,4.4312286873982085
37,4.431188527458265
38,4.424255172282166
39,4.421862276058632
40,4.420325064892101
41,4.41455078125
42,4.411062433199308
43,4.407852023742874
44,4.40438355685057
45,4.402194243688925
46,4.401022845836726
47,4.3957396268068
48,4.3928842948391695
49,4.389426563772394
