,0
0,31.792256209283387
1,11.95808574664088
2,10.202726581585912
3,9.921243574409608
4,9.653325879224349
5,9.388994745012216
6,9.131718241042345
7,8.885226867874593
8,8.644774595378664
9,8.415628340034608
10,8.195120050386809
11,7.985373034151059
12,7.804141961013844
13,7.6397677244503255
14,7.486002869248779
15,7.339931227096906
16,7.204600181952362
17,7.07625855685057
18,6.955069377290309
19,6.847641935565961
20,6.746888996335505
21,6.6566440445592425
22,6.573377379377036
23,6.496663941622557
24,6.426003123727606
25,6.360125314917549
26,6.299889778857899
27,6.242886521528908
28,6.192149805323697
29,6.1456183517406355
30,6.103874281097313
31,6.065787945974145
32,6.031457559293567
33,5.998106120851995
34,5.967523730150652
35,5.940436049470684
36,5.916303106550285
37,5.895241802600774
38,5.875672778399837
39,5.857841367441979
40,5.841323703430374
41,5.82609235036645
42,5.812384689281352
43,5.7993728687398205
44,5.787881559191775
45,5.777714334792345
46,5.767564208189128
47,5.75856082680171
48,5.750029424114413
49,5.742199428695033
