,0,1,2,3,4,5,6,7,8,9,10
0,44.67947769165039,30.75381851196289,,,,,,,,,
1,38.08102035522461,48.55971908569336,23.089645385742188,,,,,,,,
2,29.623626708984375,31.921110153198242,44.836490631103516,14.464654922485352,,,,,,,
3,22.50101661682129,26.790332794189453,25.180513381958008,41.355674743652344,7.535119533538818,,,,,,
4,20.77546501159668,24.431386947631836,16.062055587768555,23.063570022583008,40.068443298339844,4.450133800506592,,,,,
5,24.073440551757812,-20.51356315612793,27.896026611328125,19.387393951416016,26.79999351501465,39.696773529052734,8.113304138183594,,,,
6,21.61050796508789,29.86423110961914,-20.536840438842773,24.781957626342773,17.1407470703125,24.21575927734375,36.35575485229492,6.100250244140625,,,
7,19.854354858398438,22.673757553100586,27.51515007019043,-21.650014877319336,23.308513641357422,15.748795509338379,22.40162467956543,33.8577880859375,4.92769718170166,,
8,17.33163833618164,20.999662399291992,25.40561294555664,-21.85092544555664,21.710678100585938,14.040282249450684,19.493703842163086,19.43100357055664,32.18900680541992,3.6131751537323,
9,16.211511611938477,19.418167114257812,16.127471923828125,23.732803344726562,-23.135005950927734,20.186994552612305,12.476058959960938,18.61737632751465,18.23503875732422,30.115129470825195,2.417623519897461
