,0
0,9.240752875610749
1,7.041927772546824
2,5.610287147546824
3,4.969469300310464
4,4.778893685107899
5,4.71743386731474
6,4.685317844055374
7,4.663695891439332
8,4.64470461370114
9,4.62778097643526
10,4.61270986550794
11,4.597279303236971
12,4.587337133550489
13,4.570858038986156
14,4.560544489260994
15,4.553117286110545
16,4.5417615660627035
17,4.536732825860138
18,4.527513932715798
19,4.517528024480863
20,4.513405467477606
21,4.5091974214932815
22,4.5001964258448695
23,4.493233248931189
24,4.488945678313314
25,4.481007131769137
26,4.476595105099756
27,4.469604889810668
28,4.467938848737785
29,4.462508111512622
30,4.457285728827362
31,4.452714652890879
32,4.45193968533693
33,4.442949823137215
34,4.438555689510383
35,4.436793423630904
36,4.430740803771376
37,4.425720016032166
38,4.425477863523005
39,4.419568785627036
40,4.417886839627443
41,4.413208405435668
42,4.413411988497557
43,4.405503263690961
44,4.403832451140065
45,4.40228887800285
46,4.396146395307411
47,4.3955841561482085
48,4.390698957909202
49,4.3888182003257326
