,0
0,10.40583249567386
1,7.937639963355049
2,6.234485141617467
3,5.272602888970888
4,4.915998924826955
5,4.821685095175082
6,4.784630592172231
7,4.766844112632329
8,4.754694339118485
9,4.742277362835912
10,4.734276389454397
11,4.727830520281962
12,4.71946651694829
13,4.7155554954702765
14,4.708363287611971
15,4.702888811838355
16,4.696972974348534
17,4.690893316113599
18,4.688775972745318
19,4.681297078583062
20,4.676467149964373
21,4.674135090085505
22,4.666218412815554
23,4.663589726053543
24,4.660355856830212
25,4.655237253791735
26,4.65267457247557
27,4.647638277432818
28,4.6432198887927525
29,4.639595155995521
30,4.635816145409202
31,4.6334793140523205
32,4.6320180489108305
33,4.626632243103624
34,4.624257239922638
35,4.622108484324104
36,4.618263468291938
37,4.615350480964984
38,4.612227946228624
39,4.611188161644951
40,4.608885525880496
41,4.605879892355456
42,4.603877462082655
43,4.601450370266694
44,4.598434000916124
45,4.596806926913681
46,4.593076426353828
47,4.592374621462744
48,4.591719736105456
49,4.587302937958062
